Ticker
TECH UW
GOOGL UW
ALLE UN
NFLX UW
A UN
WBD UW
TRMB UW
ELV UN
CME UW
JNPR UN
DTE UN
NDAQ UW
PM UN
IR UN
CRM UN
ROP UW
HII UN
MET UN
TPR UN
CSX UW
EW UN
AMP UN
ZBRA UW
ZBH UN
CPT UN
CBRE UN
MA UN
KMX UN
ICE UN
FIS UN
SW UN
CMG UN
WYNN UW
LYV UN
AIZ UN
NRG UN
MNST UW
RF UN
BKR UW
MOS UN
EXPE UW
CF UN
APA UW
LDOS UN
GOOG UW
TKO UN
FSLR UW
DFS UN
V UN
MAA UN
XYL UN
MPC UN
TSCO UW
AMD UW
RMD UN
MTD UN
VICI UN
CPRT UW
J UN
ALB UN
FTNT UW
MRNA UW
ESS UN
CSGP UW
O UN
WAB UN
PLTR UW
POOL UW
WDC UW
PEP UW
TEL UN
FANG UW
PANW UW
NOW UN
CHD UN
FRT UN
MGM UN
AEP UW
INVH UN
PTC UW
JBHT UW
LRCX UW
MHK UN
GEHC UW
PNR UN
VRTX UW
AMCR UN
META UW
TMUS UW
URI UN
ARE UN
HON UW
DAL UN
UAL UW
STX UW
NWS UW
CNC UN
APO UN
MLM UN
TER UW
PYPL UW
TSLA UW
BLK UN
KKR UN
ACGL UW
DOW UN
EG UN
TDY UN
DPZ UW
GEV UN
NWSA UW
EXC UW
GPN UN
CCI UN
ALGN UW
KVUE UN
TRGP UN
BG UN
LKQ UW
DECK UN
WDAY UW
ZTS UN
EQIX UW
DLR UN
MOH UN
LVS UN
